Name,Gender,Education,Last_Company,Email,LinkedIn,Phone_Number,Nationality,Designation,Degrees,Years_of_Experience,Skills,Path,APPLICANT NAME,ACCEPT/REJECT,REASON
Khalid Al-Thani,Male,"1. Master of Finance, Qatar University, Doha, Qatar, 2014
2. Bachelor of Economics and Finance, Carnegie Mellon University in Qatar, Doha, Qatar, 2011",QNB Group.,khalid.al-thani@example.com,linkedin.com/in/khalidal-thani-finance,+974 5544 7788,Qatari,Corporate Finance Analyst,"Master of Finance 
Bachelor of Economics and Finance",7 years and 9 months.,"1. Financial modeling
2. Valuation
3. Data analysis
4. Data visualization
5. Excel
6. Bloomberg Terminal
7. Financial analysis software
8. Tableau
9. Market research
10. Competitive analysis
11. Regulatory compliance
12. Stakeholder communication
13. Presentation
14. Report writing",Corporate Finance Analyst_17.docx,Khalid Al-Thani,Reject,Does not display the use of statistical analysis and packages
Ayesha Khan,Female,"1. Master of Business Administration (MBA), Finance, Lahore University of Management Sciences (LUMS), Lahore, Pakistan, 2018
2. Bachelor of Business Administration (BBA), Institute of Business Administration (IBA), Karachi, Pakistan, 2016",KPMG,ayesha.khan@example.com,linkedin.com/in/ayeshakhan,+92 300 1234567,Pakistani,Corporate Finance Analyst,"1. Master of Business Administration (MBA)
2. Bachelor of Business Administration (BBA)",8 years,"1. Financial Modeling
2. Valuation
3. Budgeting
4. Forecasting
5. Data Analysis
6. Reporting
7. Excel
8. Power BI
9. Tableau
10. Ratio Analysis
11. Market Research
12. Competitive Analysis
13. Financial Statement Analysis
14. Cash Flow Projections
15. Capital Allocation Decisions
16. Financial Audits
17. Due Diligence
18. Compliance Reviews
19. Financial Statement Preparation
20. Presentation Development",Corporate Finance Analyst_2.docx,Ayesha Khan,Accept,Has the required number of professional years
Ayesha Khan,Female,"1. Master of Business Administration (MBA), Finance, Lahore University of Management Sciences (LUMS), Lahore, Pakistan, 2018
2. Bachelor of Business Administration (BBA), Institute of Business Administration (IBA), Karachi, Pakistan, 2016",KPMG,ayesha.khan@example.com,linkedin.com/in/ayeshakhan,+92 300 1234567,Pakistani,Corporate Finance Analyst,"1. Master of Business Administration (MBA)
2. Bachelor of Business Administration (BBA)",8 years,"1. Financial Modeling
2. Valuation
3. Budgeting
4. Forecasting
5. Data Analysis
6. Reporting
7. Excel
8. Power BI
9. Tableau
10. Ratio Analysis
11. Market Research
12. Competitive Analysis
13. Financial Statement Analysis
14. Cash Flow Projections
15. Capital Allocation Decisions
16. Financial Audits
17. Due Diligence
18. Compliance Reviews
19. Financial Statement Preparation
20. Presentation Development",Corporate Finance Analyst_2.docx,Ayesha Khan,Accept,Skill set matches the required one
Ayesha Khan,Female,"1. Master of Business Administration (MBA), Finance, Lahore University of Management Sciences (LUMS), Lahore, Pakistan, 2018
2. Bachelor of Business Administration (BBA), Institute of Business Administration (IBA), Karachi, Pakistan, 2016",KPMG,ayesha.khan@example.com,linkedin.com/in/ayeshakhan,+92 300 1234567,Pakistani,Corporate Finance Analyst,"1. Master of Business Administration (MBA)
2. Bachelor of Business Administration (BBA)",8 years,"1. Financial Modeling
2. Valuation
3. Budgeting
4. Forecasting
5. Data Analysis
6. Reporting
7. Excel
8. Power BI
9. Tableau
10. Ratio Analysis
11. Market Research
12. Competitive Analysis
13. Financial Statement Analysis
14. Cash Flow Projections
15. Capital Allocation Decisions
16. Financial Audits
17. Due Diligence
18. Compliance Reviews
19. Financial Statement Preparation
20. Presentation Development",Corporate Finance Analyst_2.docx,Ayesha Khan,Reject,Lacks proof of data collection and analysis
Emily Johnson,Female,"Master of Finance, Massachusetts Institute of Technology (MIT), Cambridge, MA, 2018
Bachelor of Science in Economics, University of California, Berkeley, CA, 2016",Deloitte.,emily.johnson@example.com,https://www.linkedin.com/in/emilyjohnsonfinance,+1 555-123-4567,American,Corporate Finance Analyst,"Master of Finance, 
Bachelor of Science in Economics.",7.42 years,"1. Financial Modeling
2. Data Analysis
3. Budgeting
4. Forecasting
5. SQL
6. Excel
7. Power BI
8. Tableau
9. BI tools
10. Market Research
11. Competitive Analysis
12. Financial Planning
13. Capital Allocation
14. Investment Strategies
15. Strategic Planning",Corporate Finance Analyst_3.docx,Emily Johnson,Reject,Does not display the knowledge of tax laws
Emily Johnson,Female,"Master of Finance, Massachusetts Institute of Technology (MIT), Cambridge, MA, 2018
Bachelor of Science in Economics, University of California, Berkeley, CA, 2016",Deloitte.,emily.johnson@example.com,https://www.linkedin.com/in/emilyjohnsonfinance,+1 555-123-4567,American,Corporate Finance Analyst,"Master of Finance, 
Bachelor of Science in Economics.",7.42 years,"1. Financial Modeling
2. Data Analysis
3. Budgeting
4. Forecasting
5. SQL
6. Excel
7. Power BI
8. Tableau
9. BI tools
10. Market Research
11. Competitive Analysis
12. Financial Planning
13. Capital Allocation
14. Investment Strategies
15. Strategic Planning",Corporate Finance Analyst_3.docx,Emily Johnson,Accept,Has skills in both back-end and front-end development
Emily Johnson,Female,"Master of Finance, Massachusetts Institute of Technology (MIT), Cambridge, MA, 2018
Bachelor of Science in Economics, University of California, Berkeley, CA, 2016",Deloitte.,emily.johnson@example.com,https://www.linkedin.com/in/emilyjohnsonfinance,+1 555-123-4567,American,Corporate Finance Analyst,"Master of Finance, 
Bachelor of Science in Economics.",7.42 years,"1. Financial Modeling
2. Data Analysis
3. Budgeting
4. Forecasting
5. SQL
6. Excel
7. Power BI
8. Tableau
9. BI tools
10. Market Research
11. Competitive Analysis
12. Financial Planning
13. Capital Allocation
14. Investment Strategies
15. Strategic Planning",Corporate Finance Analyst_3.docx,Emily Johnson,Reject,Over qualified
Amir Al-Farsi,Male,"Master of Business Administration (MBA), Finance 
University of Dubai, Dubai, UAE, 2017

Bachelor of Science in Finance 
American University in Dubai, Dubai, UAE, 2015",Emirates NBD,amir.alfarsi@example.com,https://www.linkedin.com/in/amiralfarsi,+971 50 123 4567,Emirati,Senior Corporate Finance Analyst.,"1. Master of Business Administration (MBA), Finance 
2. Bachelor of Science in Finance",7.5 years,"1. Financial Modeling
2. Analysis
3. Budgeting
4. Forecasting
5. Variance Analysis
6. Regulatory Compliance
7. Financial Planning
8. Risk Management
9. Long-term Growth Strategies
10. Financial Reporting
11. Data Analysis
12. Market Research
13. Competitive Analysis
14. Financial Valuation
15. Investment Analysis
16. Due Diligence
17. Document Preparation
18. Financial Performance Tracking
19. Strategic Planning
20. Problem-Solving
21. Communication
22. Presentation
23. Leadership
24. Team Collaboration
25. Time Management
26. Budgeting
27. Forecasting
28. Financial Planning
29. Financial Analysis
30. Data Interpretation",Corporate Finance Analyst_8.docx,Amir Al-Farsi,Reject,Professional experience exceeds the required one
Lucas van Dijk,Male,"Master of Science in Finance, Erasmus University Rotterdam, 2017 
Bachelor of Science in Business Administration, University of Amsterdam, 2015",Rabobank.,lucas.vandijk@example.com,linkedin.com/in/lucasvandijk,+31 6 1234 5678,Dutch,Senior Corporate Finance Analyst.,"Master of Science in Finance 
Bachelor of Science in Business Administration",8.083 years,"1. Financial Modeling
2. Valuation
3. Budgeting
4. Forecasting
5. Data Analysis
6. Data Visualization
7. Cash Flow Assessment
8. Financial Statement Review
9. Financial Performance Analysis
10. Regulatory Compliance
11. Excel (implied by Financial Modeling & Valuation)
12. Financial Planning
13. Financial Reporting
14. Investment Appraisal
15. Investment Portfolio Optimization
16. ROI Analysis
17. Liquidity Management
18. Cash Flow Forecasting",Corporate Finance Analyst_10.docx,Lucas van Dijk,Reject,Overqualified
Sophia Lim.,Female,"Master of Business Administration (MBA), Specialization in Finance, Nanyang Technological University (NTU), Singapore, 2013
Bachelor of Business, Singapore Management University (SMU), Singapore, 2011",HSBC,sophia.lim@example.com,https://www.linkedin.com/in/sophialim-corporatefinance,+65 8123 4567,Singaporean,Corporate Finance Analyst.,"1. Master of Business Administration (MBA) 
2. Bachelor of Business",9.5 years,"1. Financial modeling
2. Valuation
3. Analysis
4. Investment analysis
5. Due diligence
6. Financial structuring
7. Market analysis
8. Data visualization
9. Microsoft Excel
10. Bloomberg Terminal
11. SAP
12. Tableau
13. Financial software
14. Data analysis
15. Financial planning
16. Budgeting
17. Forecasting
18. Long-term financial planning
19. Capital structure optimization
20. Financial ratio analysis
21. Cost of capital analysis
22. Financial stability analysis
23. Shareholder value analysis",Corporate Finance Analyst_14.docx,,,
Elizabeth Johnson,Female,"Master of Business Administration (MBA), Finance, New York University, New York, NY, 2015
Bachelor of Science in Economics, University of Pennsylvania, Philadelphia, PA, 2013",Citigroup.,elizabeth.johnson@example.com,"**Elizabeth Johnson | Finance Professional**

**Headline:** Experienced Finance Professional | MBA, CFA, FP&A

**Location:** New York, NY

**Current Company:** JPMorgan Chase & Co.

**Current Title:** Corporate Finance Analyst

**Experience:**

*   **Corporate Finance Analyst, JPMorgan Chase & Co.** (July 2016 - Present)
    *   Lead financial analysis for corporate finance projects, including new market entry, product launches, and capital investments.
",+1 555-7890,American,Corporate Finance Analyst,"Master of Business Administration (MBA) 
Bachelor of Science in Economics",8.083 years,"1. Financial modeling
2. Analysis
3. Valuation
4. Integration planning
5. Risk analysis
6. Forecasting
7. Budgeting
8. Financial statement analysis
9. Benchmarking
10. Capital allocation
11. Cost optimization
12. Revenue enhancement
13. Investment portfolio optimization
14. Financial risk management
15. Strategic financial planning",Corporate Finance Analyst_21.docx,Elizabeth Johnson,Accept,Skill set matches the required one
Ahmed Al-Rashid,Male,"Master of Business Administration (MBA), Finance, University of Dubai, Dubai, UAE, 2015
Bachelor of Finance, Higher Colleges of Technology, Abu Dhabi, UAE, 2013",Emirates Islamic Bank,ahmed.alrashid@example.com,https://www.linkedin.com/in/ahmedalrashid-finance,+971 55 678 1234,Emirati,Corporate Finance Analyst,"Master of Business Administration (MBA), 
Bachelor of Finance.",10.5 years,"1. Financial modeling
2. Financial analysis
3. Data analysis
4. Data visualization
5. SQL
6. Excel with VBA
7. Bloomberg Terminal
8. Power BI
9. Financial forecasting
10. Market risk assessment
11. Financial performance analysis
12. Capital structure optimization
13. Portfolio management
14. Investment analysis
15. Due diligence
16. Financial valuation
17. Liquidity management
18. Budgeting
19. Financial reporting
20. Presentation",Corporate Finance Analyst_19.docx,Ahmed Al-Rashid,Reject,Professional experience exceeds the required one
Ahmed Al-Rashid,Male,"Master of Business Administration (MBA), Finance, University of Dubai, Dubai, UAE, 2015
Bachelor of Finance, Higher Colleges of Technology, Abu Dhabi, UAE, 2013",Emirates Islamic Bank,ahmed.alrashid@example.com,https://www.linkedin.com/in/ahmedalrashid-finance,+971 55 678 1234,Emirati,Corporate Finance Analyst,"Master of Business Administration (MBA), 
Bachelor of Finance.",10.5 years,"1. Financial modeling
2. Financial analysis
3. Data analysis
4. Data visualization
5. SQL
6. Excel with VBA
7. Bloomberg Terminal
8. Power BI
9. Financial forecasting
10. Market risk assessment
11. Financial performance analysis
12. Capital structure optimization
13. Portfolio management
14. Investment analysis
15. Due diligence
16. Financial valuation
17. Liquidity management
18. Budgeting
19. Financial reporting
20. Presentation",Corporate Finance Analyst_19.docx,Ahmed Al-Rashid,Accept,Has displayed strong problem solving skills
Noor Al-Thani,Female,"Master of Business Administration (MBA), Finance, Qatar University, Doha, Qatar, 2018 
Bachelor of Business Administration (BBA), Georgetown University School of Foreign Service in Qatar, Doha, Qatar, 2016",Deloitte & Touche.,noor.althani@example.com,https://www.linkedin.com/in/nooralthani-finance,+974 5550 1234,Qatari,Corporate Finance Analyst.,"1. Master of Business Administration (MBA), Finance
2. Bachelor of Business Administration (BBA)",7.5 years,"1. Financial Modeling
2. Valuation
3. Data Analysis
4. Budgeting
5. Forecasting
6. Excel
7. Power BI
8. Data Visualization
9. Regulatory Knowledge (QFC regulations and international financial compliance standards)
10. Financial Reporting
11. Financial Presentations
12. Financial Due Diligence
13. Financial Forecasting Models
14. Financial Statement Preparation
15. Financial Audits",Corporate Finance Analyst_7.docx,Noor Al-Thani,Accept,Holds a CFA certification
Noor Al-Thani,Female,"Master of Business Administration (MBA), Finance, Qatar University, Doha, Qatar, 2018 
Bachelor of Business Administration (BBA), Georgetown University School of Foreign Service in Qatar, Doha, Qatar, 2016",Deloitte & Touche.,noor.althani@example.com,https://www.linkedin.com/in/nooralthani-finance,+974 5550 1234,Qatari,Corporate Finance Analyst.,"1. Master of Business Administration (MBA), Finance
2. Bachelor of Business Administration (BBA)",7.5 years,"1. Financial Modeling
2. Valuation
3. Data Analysis
4. Budgeting
5. Forecasting
6. Excel
7. Power BI
8. Data Visualization
9. Regulatory Knowledge (QFC regulations and international financial compliance standards)
10. Financial Reporting
11. Financial Presentations
12. Financial Due Diligence
13. Financial Forecasting Models
14. Financial Statement Preparation
15. Financial Audits",Corporate Finance Analyst_7.docx,Noor Al-Thani,Accept,Professional experience matches the one required
Noor Al-Thani,Female,"Master of Business Administration (MBA), Finance, Qatar University, Doha, Qatar, 2018 
Bachelor of Business Administration (BBA), Georgetown University School of Foreign Service in Qatar, Doha, Qatar, 2016",Deloitte & Touche.,noor.althani@example.com,https://www.linkedin.com/in/nooralthani-finance,+974 5550 1234,Qatari,Corporate Finance Analyst.,"1. Master of Business Administration (MBA), Finance
2. Bachelor of Business Administration (BBA)",7.5 years,"1. Financial Modeling
2. Valuation
3. Data Analysis
4. Budgeting
5. Forecasting
6. Excel
7. Power BI
8. Data Visualization
9. Regulatory Knowledge (QFC regulations and international financial compliance standards)
10. Financial Reporting
11. Financial Presentations
12. Financial Due Diligence
13. Financial Forecasting Models
14. Financial Statement Preparation
15. Financial Audits",Corporate Finance Analyst_7.docx,Noor Al-Thani,Reject,Overqualified
Noor Al-Thani,Female,"Master of Business Administration (MBA), Finance, Qatar University, Doha, Qatar, 2018 
Bachelor of Business Administration (BBA), Georgetown University School of Foreign Service in Qatar, Doha, Qatar, 2016",Deloitte & Touche.,noor.althani@example.com,https://www.linkedin.com/in/nooralthani-finance,+974 5550 1234,Qatari,Corporate Finance Analyst.,"1. Master of Business Administration (MBA), Finance
2. Bachelor of Business Administration (BBA)",7.5 years,"1. Financial Modeling
2. Valuation
3. Data Analysis
4. Budgeting
5. Forecasting
6. Excel
7. Power BI
8. Data Visualization
9. Regulatory Knowledge (QFC regulations and international financial compliance standards)
10. Financial Reporting
11. Financial Presentations
12. Financial Due Diligence
13. Financial Forecasting Models
14. Financial Statement Preparation
15. Financial Audits",Corporate Finance Analyst_7.docx,Noor Al-Thani,Reject,Background professional experience not sufficient
Noor Al-Thani,Female,"Master of Business Administration (MBA), Finance, Qatar University, Doha, Qatar, 2018 
Bachelor of Business Administration (BBA), Georgetown University School of Foreign Service in Qatar, Doha, Qatar, 2016",Deloitte & Touche.,noor.althani@example.com,https://www.linkedin.com/in/nooralthani-finance,+974 5550 1234,Qatari,Corporate Finance Analyst.,"1. Master of Business Administration (MBA), Finance
2. Bachelor of Business Administration (BBA)",7.5 years,"1. Financial Modeling
2. Valuation
3. Data Analysis
4. Budgeting
5. Forecasting
6. Excel
7. Power BI
8. Data Visualization
9. Regulatory Knowledge (QFC regulations and international financial compliance standards)
10. Financial Reporting
11. Financial Presentations
12. Financial Due Diligence
13. Financial Forecasting Models
14. Financial Statement Preparation
15. Financial Audits",Corporate Finance Analyst_7.docx,Noor Al-Thani,Accept,Has both front-end and back-end development skills
Noor Al-Thani,Female,"Master of Business Administration (MBA), Finance, Qatar University, Doha, Qatar, 2018 
Bachelor of Business Administration (BBA), Georgetown University School of Foreign Service in Qatar, Doha, Qatar, 2016",Deloitte & Touche.,noor.althani@example.com,https://www.linkedin.com/in/nooralthani-finance,+974 5550 1234,Qatari,Corporate Finance Analyst.,"1. Master of Business Administration (MBA), Finance
2. Bachelor of Business Administration (BBA)",7.5 years,"1. Financial Modeling
2. Valuation
3. Data Analysis
4. Budgeting
5. Forecasting
6. Excel
7. Power BI
8. Data Visualization
9. Regulatory Knowledge (QFC regulations and international financial compliance standards)
10. Financial Reporting
11. Financial Presentations
12. Financial Due Diligence
13. Financial Forecasting Models
14. Financial Statement Preparation
15. Financial Audits",Corporate Finance Analyst_7.docx,Noor Al-Thani,Reject,Professional experience exceeds the required one
Fatima Al-Saud,Female,"Master of Business Administration (MBA), Finance, King Fahd University of Petroleum and Minerals (KFUPM), Dhahran, Saudi Arabia, 2017

Bachelor of Science in Accounting, Princess Nourah bint Abdulrahman University, Riyadh, Saudi Arabia, 2015",SABB (The Saudi British Bank),fatima.alsaud@example.com,https://www.linkedin.com/in/fatimaalsaudfinance,+966 55 123 4567,Saudi Arabian,Senior Corporate Finance Analyst,"1. Master of Business Administration (MBA), Finance 
2. Bachelor of Science in Accounting",9 years,"1. Financial Modeling
2. Valuation
3. Budgeting
4. Forecasting
5. Data Analysis
6. Data Visualization
7. Excel
8. SQL
9. BI tools (Tableau)
10. Financial Reporting
11. Risk Assessment
12. Negotiation
13. Problem-Solving
14. Critical Thinking
15. Financial Planning
16. Financial Compliance (Saudi financial regulations and IFRS)
17. Financial Forecasting Model development",Corporate Finance Analyst_9.docx,Fatima Al-Saud,Reject,Professional experience exceeds the required one
Fatima Al-Saud,Female,"Master of Business Administration (MBA), Finance, King Fahd University of Petroleum and Minerals (KFUPM), Dhahran, Saudi Arabia, 2017

Bachelor of Science in Accounting, Princess Nourah bint Abdulrahman University, Riyadh, Saudi Arabia, 2015",SABB (The Saudi British Bank),fatima.alsaud@example.com,https://www.linkedin.com/in/fatimaalsaudfinance,+966 55 123 4567,Saudi Arabian,Senior Corporate Finance Analyst,"1. Master of Business Administration (MBA), Finance 
2. Bachelor of Science in Accounting",9 years,"1. Financial Modeling
2. Valuation
3. Budgeting
4. Forecasting
5. Data Analysis
6. Data Visualization
7. Excel
8. SQL
9. BI tools (Tableau)
10. Financial Reporting
11. Risk Assessment
12. Negotiation
13. Problem-Solving
14. Critical Thinking
15. Financial Planning
16. Financial Compliance (Saudi financial regulations and IFRS)
17. Financial Forecasting Model development",Corporate Finance Analyst_9.docx,Fatima Al-Saud,Reject,Lacks the required professional background
Faisal Al-Khalid,Male,"Master of Finance, Kuwait University, Kuwait City, Kuwait, 2015 
Bachelor of Economics, American University of the Middle East, Kuwait City, Kuwait, 2013",National Bank of Kuwait,faisal.alkhalid@example.com,linkedin.com/in/faisalalkhalid-finance,+965 5566 7890,Kuwaiti,Corporate Finance Analyst,"Master of Finance 
Bachelor of Economics",8.5 years,"1. Excel
2. Bloomberg Terminal
3. Financial analysis software
4. SQL
5. Data visualization tools (Tableau)
6. Financial modeling
7. Valuation
8. M&A analysis
9. Market research
10. Competitive analysis
11. Industry trend analysis
12. Presentation
13. Financial statement analysis
14. Market data analysis
15. Economic indicator analysis",Corporate Finance Analyst_23.docx,Faisal Al-Khalid,Accept,Holds outstanding presentation skills
Fatima Al-Balushi,Female,"Master of Finance, Sultan Qaboos University, Muscat, Oman, 2013
Bachelor of Business Administration, University of Nizwa, Nizwa, Oman, 2011",Oman Development Bank.,fatima.albalushi@example.com,linkedin.com/in/fatimaalbalushi-corporatefinance,+968 9000 1234,Omani,Corporate Finance Analyst.,"1. Master of Finance 
2. Bachelor of Business Administration",11.24 years,"1. Financial modeling
2. Investment analysis
3. Valuation techniques
4. Market analysis
5. Competitor analysis
6. Industry trends analysis
7. Financial analysis
8. Report generation
9. Risk identification
10. Risk analysis
11. Risk mitigation
12. Presentation skills
13. Stakeholder communication
14. Financial reporting
15. Strategic decision-making
16. Regulatory compliance
17. Omani financial regulations knowledge
18. International financial reporting standards knowledge
19. Financial forecasting
20. Budget preparation
21. Performance analysis
22. Financial structuring
23. Capital raising
24. Loan application evaluation
25. Investment proposal evaluation
26. Financial forecasting
27. Budget preparation
28. Performance analysis
29. Data analysis
30. Data interpretation",Corporate Finance Analyst_15.docx,Fatima Al-Balushi,Reject,Overqualified
Ahmed El-Sayed,Male,"Master of Business Administration (MBA), Finance, American University in Cairo, Cairo, Egypt, 2017 
Bachelor of Science in Economics, Cairo University, Cairo, Egypt, 2015",Commercial International Bank (CIB),ahmed.elsayed@example.com,https://www.linkedin.com/in/ahmedelsayedfinance,+20 100 123 4567,Egyptian,Senior Corporate Finance Analyst,"1. Master of Business Administration (MBA), Finance 
2. Bachelor of Science in Economics",8.67 years,"1. Excel
2. VBA
3. Financial modeling tools
4. SQL
5. Power BI
6. Financial modeling
7. Budgeting
8. Forecasting
9. Data analysis
10. Data visualization
11. Cash flow analysis
12. Profitability analysis
13. Cost management
14. Financial reporting
15. Financial statement preparation
16. Compliance reporting
17. IFRS
18. Egyptian financial regulations
19. Financial forecasting
20. Variance analysis",Corporate Finance Analyst_12.docx,Ahmed El-Sayed,Reject,Overqualified
Ahmed El-Sayed,Male,"Master of Business Administration (MBA), Finance, American University in Cairo, Cairo, Egypt, 2017 
Bachelor of Science in Economics, Cairo University, Cairo, Egypt, 2015",Commercial International Bank (CIB),ahmed.elsayed@example.com,https://www.linkedin.com/in/ahmedelsayedfinance,+20 100 123 4567,Egyptian,Senior Corporate Finance Analyst,"1. Master of Business Administration (MBA), Finance 
2. Bachelor of Science in Economics",8.67 years,"1. Excel
2. VBA
3. Financial modeling tools
4. SQL
5. Power BI
6. Financial modeling
7. Budgeting
8. Forecasting
9. Data analysis
10. Data visualization
11. Cash flow analysis
12. Profitability analysis
13. Cost management
14. Financial reporting
15. Financial statement preparation
16. Compliance reporting
17. IFRS
18. Egyptian financial regulations
19. Financial forecasting
20. Variance analysis",Corporate Finance Analyst_12.docx,Ahmed El-Sayed,Reject,Professional experience and educational level exceeds the reqired one
Sean O'Brien.,Male,"Master of Science in Finance, University College Dublin, Dublin, Ireland, 2017
Bachelor of Commerce, National University of Ireland, Galway, Ireland, 2015",Bank of Ireland.,sean.obrien@example.com,https://www.linkedin.com/in/seanobrienfinance,+353 87 123 4567,Irish,Senior Corporate Finance Analyst.,"1. Master of Science in Finance 
2. Bachelor of Commerce",9 years,"1. Excel
2. VBA
3. Financial modeling software
4. SQL
5. Power BI
6. Tableau
7. Budgeting
8. Forecasting
9. Financial modeling
10. Valuation
11. Strategic financial planning
12. M&A
13. Financial statement analysis
14. Operational data analysis
15. Market trend analysis
16. Data analysis
17. Data visualization
18. Regulatory compliance
19. Financial reporting
20. IFRS (International Financial Reporting Standards)",Corporate Finance Analyst_11.docx,,,
Raj Sharma,Male,"Master of Business Administration (MBA), Finance, Indian Institute of Management (IIM), Bangalore, India, 2018 
Bachelor of Commerce (B.Com), University of Delhi, Delhi, India, 2016",KPMG,raj.sharma@example.com,linkedin.com/in/rajsharma,+91 98765 43210,Indian,Corporate Finance Analyst,"Master of Business Administration (MBA), 
Bachelor of Commerce (B.Com)",7.5 years.,"1. Financial Modeling
2. Data Analysis
3. Budgeting
4. Forecasting
5. Market Research
6. Excel
7. Power BI
8. Financial Analysis
9. Data Visualization
10. Financial Planning
11. Capital Structure Decisions
12. Strategic Initiatives
13. Budget Preparation
14. Variance Analysis
15. Cash Flow Forecasting
16. Profitability Analysis
17. Cost Reduction Strategies
18. Financial Restructuring
19. Financial Valuation
20. Hindi
21. English",Corporate Finance Analyst_1.docx,Raj Sharma,Accept,Has a proven experience in financial analysis
Chen Li,Male,"Master of Finance, Peking University, Beijing, China, 2018 
Bachelor of Economics, Fudan University, Shanghai, China, 2016",Alibaba Group,chen.li@example.com,linkedin.com/in/chenli-finance,+86 138 1234 5678,Chinese,Corporate Finance Analyst.,"Master of Finance 
Bachelor of Economics",14.483 years.,"1. Financial Modeling
2. Valuation
3. Data Analysis
4. Budgeting
5. Forecasting
6. Variance Analysis
7. Excel
8. SQL
9. Power BI
10. Tableau
11. Data Visualization
12. Regulatory Compliance
13. Financial Reporting
14. Mandarin (Native)
15. English (Fluent)
16. Certified Financial Analyst (CFA) Level II
17. Advanced Financial Modeler (AFM)",Corporate Finance Analyst_4.docx,Chen Li,Accept,Skill set matches the required one
Arav Patel,Male,"Master of Business Administration (MBA), Finance, 
Indian Institute of Management (IIM), Ahmedabad, India, 2018
Bachelor of Commerce (B.Com), 
University of Delhi, Delhi, India, 2016",KPMG India,arav.patel@example.com,linkedin.com/in/aravpatelfinance,+91 90000 12345,Indian,Corporate Finance Analyst,"1. Master of Business Administration (MBA), Finance 
2. Bachelor of Commerce (B.Com)",7.5 years,"1. Financial Modeling
2. Data Analysis
3. Budgeting
4. Forecasting
5. Variance Analysis
6. Financial Planning
7. Risk Management
8. Long-term Growth Strategies
9. Regulatory Compliance
10. Financial Reporting
11. Investment Appraisal
12. Capital Project Evaluation
13. Market Trend Analysis
14. Financial Forecasting
15. Investment Deal Negotiation
16. Mergers and Acquisitions
17. Financial Due Diligence
18. Financial Modeling & Valuation
19. Advanced Analytical Techniques
20. Financial Planning & Budgeting Software (not specified but implied by the skills listed)",Corporate Finance Analyst_6.docx,Arav Patel,Reject,Does not display the use of financial software applications sufficiently
Fatima Al-Mohannadi,Female,"1. Master of Finance, Qatar University, Doha, Qatar, 2013
2. Bachelor of Business Administration, Georgetown University in Qatar, Doha, Qatar, 2011",Qatar National Bank (QNB),fatima.almohannadi@example.com,https://www.linkedin.com/in/fatimaalmohannadi-finance,+974 5566 7788,Qatari,Corporate Finance Analyst,"1. Master of Finance
2. Bachelor of Business Administration",9.5 years.,"1. Financial modeling
2. Market research
3. Financial analysis
4. Valuation
5. Compliance management
6. Data visualization
7. Microsoft Excel
8. Bloomberg Terminal
9. Tableau
10. Financial reporting
11. Presentation skills
12. Report writing",Corporate Finance Analyst_16.docx,Fatima Al-Mohannadi,Reject,Professional experience exceeds the required one
Sara Al-Maktoum,Female,"1. Bachelor of Business Administration (BBA), Zayed University, Dubai, UAE, 2012
2. Master of Business Administration (MBA), Finance, American University in Dubai, Dubai, UAE, 2014
3. Chartered Accountant (CA), The Institute of Chartered Accountants of India (ICAI), 2015",Abu Dhabi Commercial Bank (ADCB),sara.almaktoum@example.com,linkedin.com/in/saraalmaktoum-ca,+971 50 123 4567,Emirati,Finance Manager & Chartered Accountant,"1. Chartered Accountant (CA)
2. Master of Business Administration (MBA)
3. Bachelor of Business Administration (BBA)",8.17 years,"1. Budgeting
2. Forecasting
3. Financial analysis
4. Financial reporting
5. Compliance with UAE financial laws and regulations
6. Cost control
7. Operational efficiency
8. Strategic planning
9. Risk assessment
10. Financial software integration
11. Data analysis
12. Variance analysis
13. Financial statement preparation
14. Auditing
15. Financial record management
16. Stakeholder communication
17. Public speaking
18. Written communication
19. Time management
20. Leadership",Finance Manager_16.docx,Sara Al-Maktoum,Reject,Lacks the required number of years in working experience
Sara Al-Maktoum,Female,"1. Bachelor of Business Administration (BBA), Zayed University, Dubai, UAE, 2012
2. Master of Business Administration (MBA), Finance, American University in Dubai, Dubai, UAE, 2014
3. Chartered Accountant (CA), The Institute of Chartered Accountants of India (ICAI), 2015",Abu Dhabi Commercial Bank (ADCB),sara.almaktoum@example.com,linkedin.com/in/saraalmaktoum-ca,+971 50 123 4567,Emirati,Finance Manager & Chartered Accountant,"1. Chartered Accountant (CA)
2. Master of Business Administration (MBA)
3. Bachelor of Business Administration (BBA)",8.17 years,"1. Budgeting
2. Forecasting
3. Financial analysis
4. Financial reporting
5. Compliance with UAE financial laws and regulations
6. Cost control
7. Operational efficiency
8. Strategic planning
9. Risk assessment
10. Financial software integration
11. Data analysis
12. Variance analysis
13. Financial statement preparation
14. Auditing
15. Financial record management
16. Stakeholder communication
17. Public speaking
18. Written communication
19. Time management
20. Leadership",Finance Manager_16.docx,Sara Al-Maktoum,Accept,Has unique problem solving skills
